timestep,episode,episode_reward,episode_length,loss,entropy,value_loss
200,1,162.38935,200,,,
400,2,93.775437,200,168.37039184570312,1.9458582043647765,331.01489753723143
600,3,177.507627,200,133.01901245117188,1.9453816890716553,230.87890033721925
800,4,50.478986,200,125.10960388183594,1.9440524727106094,232.49641914367675
1000,5,78.518793,200,125.10960388183594,1.9440524727106094,232.49641914367675
1200,6,98.049861,200,66.03382110595703,1.9425809502601623,126.59345092773438
1400,7,-91.427816,200,71.51654052734375,1.9384254842996598,151.61310577392578
1600,8,108.447749,200,47.902103424072266,1.9282391846179963,84.2875898361206
1800,9,85.722848,200,59.1357536315918,1.9098687559366225,107.2277235031128
2000,10,68.141082,200,59.1357536315918,1.9098687559366225,107.2277235031128
2200,11,99.162549,200,35.323429107666016,1.9086418896913528,129.36097450256347
2400,12,35.405589,200,74.4119644165039,1.9122582405805588,131.8149824142456
2600,13,10.91386,200,21.27487564086914,1.9116358816623689,42.378090381622314
2800,14,55.303987,200,21.27487564086914,1.9116358816623689,42.378090381622314
3000,15,86.275801,200,29.1993408203125,1.8978864520788192,63.27323913574219
3200,16,101.700871,200,64.873291015625,1.8823194980621338,121.13128490447998
3400,17,39.692875,200,84.23329162597656,1.8728554159402848,161.6570846557617
3600,18,75.628199,200,143.3105010986328,1.8653391242027282,236.13433570861815
3800,19,-26.796077,200,143.3105010986328,1.8653391242027282,236.13433570861815
3909,20,64.943394,109,20.66068458557129,1.8639162808656693,41.79874053001404
3983,21,35.419984,74,20.66068458557129,1.8639162808656693,41.79874053001404
4095,22,43.809626,112,20.66068458557129,1.8639162808656693,41.79874053001404
4295,23,46.297601,200,85.6808853149414,1.8682840019464493,214.70486373901366
4495,24,155.267106,200,52.04084014892578,1.867977324128151,142.48687820434571
4695,25,3.116376,200,75.25936126708984,1.868142917752266,174.52755794525146
4895,26,167.670963,200,93.89141845703125,1.8675977826118468,213.3550666809082
5095,27,57.478912,200,93.89141845703125,1.8675977826118468,213.3550666809082
5295,28,119.489003,200,57.311004638671875,1.867415964603424,107.92586688995361
5495,29,10.19401,200,66.59221649169922,1.865005660057068,124.03632583618165
5695,30,158.040768,200,25.9674072265625,1.8644755184650421,63.08188419342041
5895,31,87.378714,200,102.53018951416016,1.867358222603798,231.44880905151368
6095,32,-21.527912,200,102.53018951416016,1.867358222603798,231.44880905151368
6295,33,155.485939,200,58.610530853271484,1.8507291495800018,133.83234672546388
6495,34,72.611838,200,45.420101165771484,1.7883564859628678,118.73520126342774
6695,35,140.481305,200,141.90721130371094,1.7542707562446593,342.5134864807129
6830,36,206.755313,135,141.90721130371094,1.7542707562446593,342.5134864807129
6985,37,68.0843,155,372.2045593261719,1.7603748321533204,701.9812942504883
7185,38,196.775117,200,183.7257843017578,1.7645917564630509,297.78529968261716
7343,39,47.947092,158,183.7257843017578,1.7645917564630509,297.78529968261716
7543,40,193.760373,200,139.36521911621094,1.7470983058214187,198.2665237426758
7743,41,7.249182,200,196.98435974121094,1.737200489640236,380.8737289428711
7943,42,190.244823,200,162.44300842285156,1.7363361120224,337.14890785217284
8143,43,38.75685,200,162.44300842285156,1.7363361120224,337.14890785217284
8280,44,31.951317,137,77.97684478759766,1.729984524846077,157.39700412750244
8480,45,75.363827,200,58.73439025878906,1.7806724101305007,117.82960357666016
8680,46,56.881828,200,58.73439025878906,1.7806724101305007,117.82960357666016
8781,47,58.137668,101,18.683855056762695,1.8163683027029038,37.486001920700076
8981,48,27.666382,200,59.51387023925781,1.82354237139225,153.5341905593872
9181,49,4.170376,200,59.51387023925781,1.82354237139225,153.5341905593872
9381,50,44.089182,200,48.941646575927734,1.7989378809928893,97.46955471038818
9581,51,103.173636,200,72.12739562988281,1.8011699199676514,124.120560836792
9781,52,50.552044,200,88.91767883300781,1.7708443135023118,144.67444343566893
9881,53,42.010339,100,88.91767883300781,1.7708443135023118,144.67444343566893
10081,54,27.875908,200,42.53713607788086,1.782153105735779,115.77390727996826
10281,55,183.708315,200,190.37490844726562,1.7866591334342956,372.1988582611084
10481,56,92.601278,200,190.37490844726562,1.7866591334342956,372.1988582611084
10681,57,100.750811,200,30.558237075805664,1.7981829166412353,79.76805877685547
10881,58,83.771832,200,85.54086303710938,1.7954935520887374,144.67899856567382
11081,59,102.412568,200,87.63890838623047,1.8078314691781998,168.18396549224855
11281,60,158.962933,200,61.59707260131836,1.8054518193006515,150.38851833343506
11387,61,-9.425327,106,61.59707260131836,1.8054518193006515,150.38851833343506
11587,62,-0.440072,200,94.16331481933594,1.8134292721748353,137.1446918487549
11787,63,92.799334,200,65.0954818725586,1.8099231958389281,110.57857189178466
11987,64,-26.465553,200,65.0954818725586,1.8099231958389281,110.57857189178466
12187,65,105.16034,200,46.431846618652344,1.7571728229522705,107.56436290740967
12387,66,191.678196,200,152.6375274658203,1.757017147541046,321.123620223999
