timestep,episode,episode_reward,episode_length,loss,entropy,value_loss
200,1,46.25265,200,,,
400,2,26.439841,200,,,
600,3,17.531645,200,,,
792,4,2.886581,192,,,
992,5,-9.7612,200,,,
1192,6,42.404458,200,0.8262887597084045,,
1392,7,119.041557,200,0.4284712076187134,,
1592,8,24.126788,200,1.0613958835601807,,
1741,9,60.388841,149,0.5196875929832458,,
1941,10,144.679377,200,0.8732171058654785,,
2141,11,171.848068,200,0.5054249167442322,,
2341,12,126.669528,200,0.3676682412624359,,
2541,13,264.819991,200,0.7863847017288208,,
2741,14,199.074062,200,0.2105133831501007,,
2941,15,127.868025,200,0.5701465010643005,,
3141,16,159.335138,200,3.5371837615966797,,
3341,17,234.063574,200,0.5370079278945923,,
3541,18,399.482347,200,0.4788804352283478,,
3741,19,229.605805,200,1.0650112628936768,,
3941,20,243.273807,200,1.2280678749084473,,
4141,21,347.601684,200,0.9284648895263672,,
4341,22,357.274553,200,2.851898670196533,,
4541,23,117.804668,200,4.484635353088379,,
4678,24,226.344638,137,2.256484031677246,,
4878,25,479.946127,200,0.7367273569107056,,
5078,26,293.192369,200,5.981598854064941,,
5278,27,380.971086,200,1.3827241659164429,,
5478,28,174.342464,200,0.7480350732803345,,
5678,29,506.628609,200,1.0645701885223389,,
5878,30,588.98148,200,0.5673606991767883,,
5951,31,115.85654,73,1.7837653160095215,,
6151,32,390.349745,200,1.2227445840835571,,
6351,33,507.230809,200,1.0664520263671875,,
6484,34,208.100249,133,4.140511512756348,,
6684,35,483.59559,200,1.0147844552993774,,
6884,36,549.270982,200,0.5919442772865295,,
7084,37,702.781499,200,0.8122572898864746,,
7284,38,684.549301,200,0.7908498048782349,,
7484,39,425.180564,200,0.8983209133148193,,
7684,40,609.665281,200,3.476407051086426,,
7884,41,522.239498,200,3.4166343212127686,,
8084,42,339.071772,200,2.17771577835083,,
8284,43,588.453263,200,4.156011581420898,,
8484,44,507.930096,200,2.1384003162384033,,
8684,45,592.575695,200,3.6178832054138184,,
8884,46,704.729163,200,2.442941904067993,,
9084,47,881.81744,200,3.923642158508301,,
9284,48,543.626685,200,1.1294541358947754,,
9484,49,609.91918,200,1.181534767150879,,
9684,50,896.649676,200,4.601092338562012,,
9884,51,582.266407,200,1.4547536373138428,,
10084,52,687.448347,200,1.960254192352295,,
10284,53,571.959965,200,3.2192277908325195,,
10343,54,162.402748,59,1.2624971866607666,,
10543,55,808.391769,200,1.953271746635437,,
10743,56,848.58941,200,1.4953361749649048,,
10943,57,822.296249,200,1.292748212814331,,
11143,58,728.28645,200,3.2132961750030518,,
11298,59,449.886337,155,5.175996780395508,,
11498,60,960.037128,200,2.4189822673797607,,
11698,61,865.626955,200,2.0214040279388428,,
11898,62,1018.438036,200,8.930907249450684,,
12098,63,868.742416,200,1.157479166984558,,
12298,64,827.497757,200,6.102168560028076,,
12498,65,1151.121003,200,2.5471348762512207,,
12698,66,710.496567,200,7.10518741607666,,
12773,67,334.796498,75,3.456749200820923,,
12973,68,1111.647935,200,1.2350220680236816,,
13173,69,1129.464071,200,8.371603012084961,,
13290,70,417.166005,117,2.436168670654297,,
13490,71,1063.546236,200,7.937026500701904,,
13690,72,1054.27151,200,3.1063790321350098,,
13890,73,977.615041,200,2.6274101734161377,,
14090,74,1153.764329,200,13.160186767578125,,
14290,75,1113.776568,200,1.690423846244812,,
14490,76,1068.574185,200,7.10426139831543,,
14686,77,864.992237,196,3.7403507232666016,,
14795,78,566.606758,109,10.022010803222656,,
14995,79,1495.651118,200,6.034415245056152,,
15195,80,1419.604189,200,4.462709426879883,,
15395,81,981.093204,200,6.001206874847412,,
15595,82,1021.042123,200,1.1755894422531128,,
15795,83,1756.466514,200,0.8290546536445618,,
15995,84,1511.153367,200,6.97425651550293,,
16034,85,73.402437,39,9.690210342407227,,
16234,86,995.042822,200,6.929853439331055,,
16434,87,1642.664509,200,1.362560510635376,,
16634,88,1552.310095,200,3.1035704612731934,,
16834,89,1779.973498,200,1.1818360090255737,,
16975,90,929.855487,141,1.237173318862915,,
17006,91,47.367197,31,1.2643448114395142,,
17206,92,1529.112642,200,0.8275865316390991,,
17406,93,1748.579109,200,7.249913215637207,,
17606,94,1168.101941,200,8.326783180236816,,
17806,95,1619.203994,200,3.2660810947418213,,
17889,96,638.781503,83,7.7574615478515625,,
18089,97,1952.09073,200,1.0485602617263794,,
18289,98,1490.792887,200,1.2286149263381958,,
18489,99,2117.031552,200,6.417710781097412,,
18689,100,1714.940999,200,2.932894706726074,,
18743,101,330.193236,54,6.656318664550781,,
18943,102,1668.53092,200,3.689300537109375,,
19143,103,1656.714135,200,1.0712591409683228,,
19343,104,1762.333366,200,1.971247911453247,,
19543,105,1757.174558,200,8.799464225769043,,
19702,106,1082.396958,159,1.6414151191711426,,
19902,107,1486.128547,200,10.649354934692383,,
20102,108,1677.317426,200,1.3897042274475098,,
20302,109,1116.202073,200,14.257671356201172,,
20502,110,1652.548945,200,6.957372665405273,,
20702,111,1411.055289,200,1.5563349723815918,,
20902,112,1774.927851,200,4.027338027954102,,
21102,113,1475.112085,200,0.9820164442062378,,
21257,114,1196.48346,155,0.8174782991409302,,
21457,115,1600.982953,200,7.21616268157959,,
21657,116,1781.760085,200,11.228245735168457,,
21857,117,1738.750237,200,12.641170501708984,,
22057,118,1657.636437,200,1.679016351699829,,
22257,119,1852.832479,200,12.697355270385742,,
22457,120,1687.471196,200,2.402125120162964,,
22657,121,1422.882339,200,1.715611457824707,,
22857,122,1658.749147,200,3.0473570823669434,,
23057,123,1381.510248,200,12.486065864562988,,
23257,124,1611.848024,200,6.768907070159912,,
23457,125,1564.815069,200,1.502878189086914,,
23657,126,1624.251091,200,0.5639215707778931,,
23857,127,1661.598154,200,1.233354091644287,,
24057,128,1393.009805,200,5.120673179626465,,
24257,129,1650.728089,200,9.645648002624512,,
24457,130,1580.52721,200,15.787663459777832,,
24531,131,318.661741,74,1.8343100547790527,,
24731,132,1581.461036,200,3.3658854961395264,,
24927,133,1665.904093,196,8.46396255493164,,
25003,134,275.952116,76,2.1071205139160156,,
25203,135,1597.651295,200,11.837251663208008,,
25403,136,1932.812973,200,1.7145360708236694,,
25603,137,1677.853513,200,1.3778045177459717,,
25803,138,1599.345239,200,17.75286293029785,,
26003,139,1444.221259,200,1.503494381904602,,
26203,140,1698.325594,200,9.538880348205566,,
26403,141,2065.209534,200,8.544990539550781,,
26603,142,1477.797881,200,6.7170515060424805,,
26803,143,1436.929512,200,6.8033976554870605,,
27003,144,1469.406922,200,1.6439987421035767,,
27203,145,1746.585891,200,1.457254409790039,,
27403,146,1837.70783,200,9.63807487487793,,
27594,147,1303.889118,191,5.292019367218018,,
27794,148,1539.026941,200,5.6611199378967285,,
27994,149,1571.830856,200,1.1926534175872803,,
28194,150,1543.436134,200,6.392880916595459,,
28394,151,1410.953081,200,1.3316559791564941,,
28594,152,1710.650334,200,22.499984741210938,,
28794,153,1608.756511,200,1.8088412284851074,,
28994,154,1445.700921,200,1.4479312896728516,,
29194,155,1640.641088,200,8.865561485290527,,
29394,156,1513.196193,200,6.723898887634277,,
29594,157,1480.469634,200,1.7196731567382812,,
29794,158,1587.199373,200,13.062101364135742,,
29994,159,1818.948265,200,10.112019538879395,,
30194,160,1318.378086,200,1.3279953002929688,,
30394,161,1711.530722,200,6.915133476257324,,
30534,162,1018.653657,140,1.1271123886108398,,
30734,163,1853.526552,200,1.3735884428024292,,
30934,164,1272.187446,200,9.079716682434082,,
