timestep,episode,episode_reward,episode_length,loss,entropy,value_loss
200,1,46.25265,200,,,
400,2,26.439841,200,,,
600,3,17.531645,200,,,
792,4,2.886581,192,,,
992,5,-9.7612,200,,,
1192,6,42.404458,200,0.8262887597084045,,
1392,7,119.041557,200,0.4284712076187134,,
1592,8,80.167828,200,1.1383905410766602,,
1792,9,143.422695,200,0.6360937356948853,,
1992,10,132.645358,200,1.2993369102478027,,
2192,11,31.795318,200,1.18145751953125,,
2392,12,112.110366,200,0.9363979697227478,,
2592,13,152.707566,200,0.789360523223877,,
2792,14,66.121228,200,1.5757014751434326,,
2992,15,208.055575,200,0.7603172063827515,,
3192,16,243.337939,200,0.8462030291557312,,
3392,17,168.91052,200,0.6246679425239563,,
3592,18,268.059473,200,1.5094099044799805,,
3792,19,146.084176,200,0.763215184211731,,
3992,20,274.927667,200,0.7914296984672546,,
4192,21,199.100283,200,1.7755218744277954,,
4392,22,189.73765,200,0.6919597387313843,,
4592,23,355.934174,200,1.2010976076126099,,
4792,24,441.324461,200,0.9398373365402222,,
4992,25,586.813782,200,0.6526960730552673,,
5192,26,223.673218,200,1.255272388458252,,
5392,27,303.44488,200,0.8458372354507446,,
5592,28,485.307135,200,1.1998800039291382,,
5792,29,305.039869,200,1.2102205753326416,,
5992,30,309.03489,200,2.9006199836730957,,
6192,31,319.813353,200,0.790279746055603,,
6392,32,423.969957,200,1.3307380676269531,,
6592,33,444.580895,200,1.1470081806182861,,
6692,34,130.68111,100,1.0109326839447021,,
6840,35,265.032359,148,1.0878496170043945,,
7040,36,468.151843,200,1.2919350862503052,,
7240,37,347.514067,200,0.6956843137741089,,
7440,38,572.076145,200,1.2682194709777832,,
7640,39,903.18487,200,4.005450248718262,,
7840,40,349.700265,200,0.6857435703277588,,
8040,41,574.896384,200,2.1792759895324707,,
8240,42,592.665579,200,6.667766571044922,,
8440,43,415.603893,200,0.9709469079971313,,
8559,44,339.472487,119,0.8541039824485779,,
8759,45,970.091364,200,2.696777105331421,,
8959,46,598.226886,200,0.9386078715324402,,
9159,47,714.512952,200,1.0697715282440186,,
9359,48,549.369094,200,3.2169952392578125,,
9559,49,967.05762,200,1.1574585437774658,,
9759,50,817.434387,200,4.629103660583496,,
9959,51,805.109328,200,1.3235604763031006,,
10159,52,607.706401,200,1.0460495948791504,,
10359,53,801.035591,200,1.5466809272766113,,
10559,54,757.116935,200,3.8571901321411133,,
10759,55,974.327888,200,1.010408639907837,,
10959,56,861.052507,200,0.9726814031600952,,
11159,57,788.227649,200,6.983089447021484,,
11359,58,789.08387,200,0.8019111156463623,,
11559,59,1087.319356,200,1.2953459024429321,,
11670,60,418.971326,111,2.5876898765563965,,
11870,61,699.913431,200,1.3607189655303955,,
12070,62,744.909201,200,3.977569580078125,,
12270,63,1037.404507,200,5.359012603759766,,
12470,64,1002.245884,200,1.2029504776000977,,
12670,65,764.859998,200,2.590146064758301,,
12870,66,1100.746926,200,1.1549370288848877,,
13070,67,904.021624,200,2.711085796356201,,
13270,68,991.882189,200,7.164487838745117,,
13470,69,1193.228149,200,4.298750400543213,,
13670,70,1265.941293,200,1.851300835609436,,
13870,71,1380.693977,200,5.586544513702393,,
14070,72,1382.667375,200,1.3553563356399536,,
14270,73,1129.665446,200,4.493700981140137,,
14470,74,1154.064793,200,5.37551212310791,,
14670,75,1083.472185,200,1.1569318771362305,,
14870,76,1403.621428,200,0.8577405214309692,,
15070,77,1141.090807,200,8.269952774047852,,
15270,78,1561.042542,200,7.0411553382873535,,
15455,79,1285.492057,185,11.73448371887207,,
15655,80,1336.564993,200,1.3277885913848877,,
15855,81,1494.526278,200,5.802322864532471,,
16055,82,1593.495521,200,5.43441104888916,,
16175,83,860.621769,120,3.7210536003112793,,
16375,84,1451.476242,200,3.414170026779175,,
16575,85,1572.742268,200,5.066963195800781,,
16706,86,1009.194989,131,1.9071537256240845,,
16906,87,1462.219752,200,1.0870518684387207,,
17106,88,1266.25766,200,0.8590550422668457,,
17226,89,1003.293522,120,5.115368843078613,,
17426,90,1347.575052,200,7.099216461181641,,
17626,91,1669.526731,200,1.7619279623031616,,
17826,92,1414.944185,200,1.1470541954040527,,
18026,93,1563.451228,200,6.249627590179443,,
18226,94,1328.381333,200,5.170262336730957,,
18426,95,1990.357159,200,1.492055058479309,,
18626,96,1667.519532,200,1.2325044870376587,,
18826,97,1701.684035,200,11.833961486816406,,
19026,98,1477.511162,200,1.6747249364852905,,
19226,99,1456.495766,200,6.085936069488525,,
19426,100,1247.562459,200,1.1782625913619995,,
19626,101,1493.728864,200,6.739048004150391,,
19826,102,1494.49449,200,6.918639659881592,,
20026,103,1732.182006,200,11.793469429016113,,
20226,104,1419.317607,200,1.0750774145126343,,
20426,105,1320.276529,200,0.8924484848976135,,
20626,106,1320.596293,200,1.8336658477783203,,
20817,107,1104.200589,191,4.756440162658691,,
21017,108,1352.733664,200,7.497833251953125,,
21217,109,2040.626114,200,8.025508880615234,,
21417,110,1306.40032,200,6.807712078094482,,
21617,111,1628.734679,200,1.3739100694656372,,
21817,112,1588.209338,200,1.360457420349121,,
22017,113,1517.749346,200,12.400957107543945,,
22120,114,933.27719,103,7.003661155700684,,
22320,115,1722.060338,200,1.6126463413238525,,
22520,116,1396.257813,200,19.35251235961914,,
22720,117,1430.705178,200,8.813377380371094,,
22920,118,1840.26812,200,1.4750386476516724,,
23120,119,1356.592903,200,1.4912097454071045,,
23320,120,1582.26325,200,1.4728624820709229,,
23520,121,1415.513006,200,1.3529220819473267,,
23720,122,1642.184716,200,1.2845442295074463,,
23919,123,1213.827745,199,1.33842134475708,,
24119,124,1278.278322,200,1.7692997455596924,,
24319,125,1283.20122,200,4.084843158721924,,
24519,126,1387.877122,200,6.0635881423950195,,
24719,127,1416.623767,200,11.700332641601562,,
24919,128,1616.126474,200,26.171777725219727,,
25038,129,833.712643,119,9.736028671264648,,
25238,130,1389.48677,200,8.050667762756348,,
25438,131,1604.845609,200,6.1685051918029785,,
25638,132,1242.559797,200,1.5568273067474365,,
25838,133,1677.714023,200,2.292746067047119,,
26038,134,1257.301149,200,1.64678955078125,,
26238,135,1481.020864,200,1.2113025188446045,,
26270,136,22.743692,32,20.19558334350586,,
26306,137,57.521594,36,3.9163384437561035,,
26506,138,1478.86828,200,2.1139822006225586,,
26706,139,1329.257455,200,18.318050384521484,,
26906,140,1431.278657,200,14.283002853393555,,
27011,141,740.826732,105,5.110532760620117,,
27211,142,1353.597889,200,10.470052719116211,,
27411,143,1591.064396,200,9.277852058410645,,
27611,144,1568.829019,200,1.5634453296661377,,
27811,145,1399.632281,200,6.542207717895508,,
28011,146,1319.823251,200,2.081789970397949,,
28122,147,765.080333,111,8.324586868286133,,
28322,148,1194.696866,200,1.8322677612304688,,
28522,149,1410.861454,200,4.9253249168396,,
28722,150,1773.826375,200,9.479856491088867,,
28922,151,1761.333366,200,1.916730284690857,,
29122,152,1499.780462,200,1.6618448495864868,,
29322,153,1515.315338,200,13.139303207397461,,
29522,154,1826.300991,200,1.2719683647155762,,
29722,155,1723.632751,200,1.15365731716156,,
29922,156,1415.965878,200,11.281929016113281,,
30122,157,1394.984727,200,1.5364753007888794,,
30322,158,1693.68008,200,2.34698748588562,,
30522,159,1797.20632,200,1.422384262084961,,
30722,160,1333.396683,200,7.132308483123779,,
30922,161,1308.354485,200,11.05597972869873,,
31122,162,1312.353872,200,12.39546012878418,,
31322,163,1467.143208,200,11.001972198486328,,
