timestep,episode,episode_reward,episode_length,loss,entropy,value_loss
200,1,146.68717118609527,200,-0.0023662280291318893,1.9411205053329468,1903.7132568359375
400,2,-26.910879178944015,200,0.0014784049708396196,1.9401648044586182,156.4806365966797
600,3,35.01083906650609,200,0.002904815599322319,1.9400615692138672,371.1024475097656
800,4,22.050735698954046,200,0.0190665815025568,1.9400122165679932,574.5081787109375
1000,5,53.318189836528724,200,-0.0031347274780273438,1.9402440786361694,610.5360717773438
1200,6,34.13855753193746,200,0.006908359471708536,1.9409620761871338,204.47015380859375
1400,7,46.058443028957,200,-0.0008146428735926747,1.940438151359558,569.6228637695312
1600,8,96.95745507619766,200,-0.0027605819050222635,1.9410616159439087,1183.6148681640625
1800,9,71.99205879023613,200,0.00272788992151618,1.9410364627838135,643.9601440429688
1989,10,-4.2051816606841825,189,-0.003950835205614567,1.9400582313537598,57.68533706665039
2189,11,31.958650264340992,200,-0.005449390504509211,1.9395360946655273,317.3175048828125
2389,12,47.294798534892145,200,-0.008883247151970863,1.9380141496658325,384.85113525390625
2589,13,83.41845775050629,200,0.0029586791060864925,1.9366343021392822,1080.9158935546875
2774,14,-7.531089579787142,185,0.011546986177563667,1.9326930046081543,333.84130859375
2974,15,60.143634846972304,200,-0.0066121481359004974,1.932822823524475,556.9526977539062
3174,16,83.91620632432806,200,-0.0029487228021025658,1.9295787811279297,946.1568603515625
3374,17,37.879681536064574,200,-0.005796069744974375,1.9278985261917114,218.79827880859375
3574,18,74.4006398641752,200,0.001818428048864007,1.9292843341827393,1091.6031494140625
3774,19,49.34422967999466,200,-0.004736604634672403,1.9260860681533813,178.79562377929688
3974,20,88.49602728911476,200,0.00030532837263308465,1.9221678972244263,1295.637939453125
4174,21,0.2034516044173113,200,-0.018704203888773918,1.9220346212387085,145.0069122314453
4374,22,65.89513330365773,200,0.02708820253610611,1.9208859205245972,632.1039428710938
4574,23,-27.27868121609529,200,-0.00014761924103368074,1.9174827337265015,349.6039733886719
4763,24,10.137955760936856,189,0.006342589855194092,1.9180032014846802,82.13218688964844
4963,25,93.60759415880123,200,0.004239234607666731,1.919948935508728,773.9434814453125
5163,26,69.77339051412642,200,0.01564214751124382,1.919090986251831,472.2414855957031
5363,27,42.83534742034365,200,0.01364696491509676,1.9184447526931763,178.74835205078125
5563,28,7.272401334080681,200,-0.0008329772972501814,1.91901695728302,62.38922119140625
5763,29,28.95377546062694,200,-0.01101491879671812,1.921521544456482,76.97522735595703
5963,30,158.70643312723416,200,-0.009209110401570797,1.9209355115890503,2057.154541015625
6163,31,-33.693838840486,200,-0.0022841261234134436,1.9217467308044434,421.0339050292969
6363,32,138.19450885970218,200,-0.03656364232301712,1.9232101440429688,1777.601806640625
6563,33,-16.315566643997496,200,0.031329553574323654,1.9205089807510376,192.0865020751953
6763,34,111.38856485049816,200,-0.029296988621354103,1.9202533960342407,2107.115966796875
6963,35,102.55381680818495,200,-0.047026269137859344,1.9170200824737549,851.0548095703125
