timestep,episode,episode_reward,episode_length,loss,entropy,value_loss
200,1,46.25265,200,,,
400,2,26.439841,200,,,
600,3,17.531645,200,,,
792,4,2.886581,192,,,
992,5,-9.7612,200,,,
1192,6,1.803371,200,0.636259913444519,,
1392,7,80.586904,200,1.5100687742233276,,
1592,8,37.491858,200,0.6876097917556763,,
1792,9,106.513795,200,0.6429154276847839,,
1992,10,72.052775,200,1.085052728652954,,
2192,11,120.370844,200,1.2701747417449951,,
2392,12,185.052708,200,0.6110250949859619,,
2592,13,113.183467,200,1.2441364526748657,,
2792,14,191.297712,200,0.7686285972595215,,
2992,15,142.713757,200,0.7039086818695068,,
3192,16,257.833303,200,0.816739559173584,,
3392,17,328.126341,200,2.055828094482422,,
3592,18,200.299912,200,0.9218433499336243,,
3792,19,195.453495,200,0.8501488566398621,,
3992,20,415.962305,200,0.6700820922851562,,
4192,21,157.651076,200,1.6568775177001953,,
4392,22,271.057276,200,0.7806491851806641,,
4592,23,224.331842,200,2.601820468902588,,
4792,24,373.204918,200,2.4346537590026855,,
4992,25,257.739184,200,2.296825408935547,,
5192,26,315.934076,200,1.131855845451355,,
5392,27,384.323574,200,1.3831181526184082,,
5424,28,-9.252633,32,1.079114556312561,,
5624,29,499.873851,200,1.4944336414337158,,
5824,30,386.418394,200,1.030248999595642,,
6024,31,453.577339,200,2.1895837783813477,,
6100,32,72.41481,76,3.574568271636963,,
6300,33,531.421481,200,2.42830753326416,,
6500,34,256.134192,200,1.2908202409744263,,
6700,35,225.851579,200,1.6867659091949463,,
6900,36,583.985812,200,1.1562614440917969,,
7100,37,766.206202,200,3.7999916076660156,,
7300,38,425.060839,200,0.913323163986206,,
7500,39,601.999713,200,2.9975216388702393,,
7700,40,367.82455,200,1.9698233604431152,,
7900,41,508.62245,200,1.2735440731048584,,
8100,42,728.757392,200,2.434561252593994,,
8247,43,421.183252,147,1.3874279260635376,,
8447,44,448.195147,200,2.071568489074707,,
8647,45,333.465622,200,1.400205135345459,,
8764,46,359.114532,117,2.706374168395996,,
8964,47,793.460351,200,1.4549226760864258,,
9164,48,482.630826,200,3.9748520851135254,,
9364,49,530.029386,200,1.8322668075561523,,
9564,50,794.19639,200,1.4710910320281982,,
9764,51,628.721676,200,1.158913016319275,,
9964,52,776.677714,200,1.833585500717163,,
10164,53,882.581424,200,1.2710214853286743,,
10364,54,611.054873,200,3.385099172592163,,
10564,55,1168.99188,200,1.1559646129608154,,
10764,56,663.499907,200,1.9299614429473877,,
10964,57,810.969198,200,1.3938339948654175,,
11164,58,1005.469673,200,2.8736815452575684,,
11364,59,821.9018,200,1.2279118299484253,,
11564,60,969.580124,200,2.602302312850952,,
11764,61,1075.55293,200,1.5714895725250244,,
11843,62,212.821559,79,2.2678775787353516,,
12043,63,958.805851,200,1.9209880828857422,,
12243,64,879.148317,200,2.596762180328369,,
12344,65,369.971265,101,5.083590984344482,,
12544,66,1137.212714,200,1.7453091144561768,,
12744,67,1001.825797,200,2.19124174118042,,
12944,68,1033.069453,200,3.969986915588379,,
13144,69,946.388427,200,3.1019132137298584,,
13344,70,813.441855,200,2.5870914459228516,,
13544,71,1106.056661,200,4.755780220031738,,
13744,72,1441.236784,200,3.1667304039001465,,
13944,73,878.825251,200,3.3128662109375,,
14144,74,1458.4825,200,0.9297771453857422,,
14344,75,1174.514544,200,3.1981966495513916,,
14544,76,1166.777339,200,4.1015729904174805,,
14651,77,488.850136,107,0.8312702178955078,,
14851,78,1147.309185,200,5.385500431060791,,
15051,79,1421.579537,200,4.621461868286133,,
15251,80,1279.536775,200,4.690915107727051,,
15451,81,1069.24046,200,2.6854286193847656,,
15651,82,1154.492587,200,7.082490921020508,,
15851,83,1297.819576,200,6.802121639251709,,
16051,84,1253.518078,200,2.020543336868286,,
16251,85,1347.980951,200,3.2164905071258545,,
16451,86,1406.570938,200,4.413295745849609,,
16651,87,1480.293513,200,3.0324816703796387,,
16851,88,1305.635253,200,5.52459192276001,,
17051,89,1408.717957,200,2.8401618003845215,,
17251,90,1284.388563,200,2.8169469833374023,,
17410,91,998.214313,159,5.741514205932617,,
17610,92,1242.967081,200,4.090305328369141,,
17810,93,2135.707169,200,5.488533020019531,,
18010,94,1546.569766,200,2.6065051555633545,,
18210,95,1806.595813,200,1.4324328899383545,,
18410,96,1587.749294,200,1.489142894744873,,
18610,97,1481.924181,200,4.574160099029541,,
18810,98,1860.26234,200,1.4591071605682373,,
19010,99,1704.77032,200,1.916407585144043,,
19210,100,1925.597041,200,2.4714410305023193,,
19410,101,1404.568087,200,2.476071834564209,,
19610,102,1200.402243,200,5.398314476013184,,
19810,103,1494.068442,200,5.71130895614624,,
20010,104,1485.435296,200,3.0962677001953125,,
20047,105,62.119294,37,6.175415992736816,,
20247,106,1598.640109,200,1.655580997467041,,
20447,107,1191.757566,200,1.5585880279541016,,
20647,108,1464.517745,200,1.7295479774475098,,
20847,109,1617.791131,200,0.9116538763046265,,
21047,110,1442.17135,200,1.0949790477752686,,
21247,111,1586.394798,200,9.043622970581055,,
21447,112,1730.629217,200,1.6890217065811157,,
21647,113,1601.344476,200,4.087165832519531,,
21847,114,1372.806815,200,6.725837707519531,,
21951,115,732.921422,104,1.6682347059249878,,
22151,116,1637.742073,200,5.844286918640137,,
22351,117,1542.38554,200,4.852400302886963,,
22551,118,1540.115518,200,7.1905951499938965,,
22751,119,1549.584558,200,7.228689193725586,,
22951,120,1909.63008,200,1.9620988368988037,,
23151,121,1606.450015,200,1.864809274673462,,
23351,122,1396.712456,200,1.202723741531372,,
23551,123,1072.238502,200,2.8235998153686523,,
23751,124,1688.436021,200,6.349790573120117,,
23870,125,771.713391,119,3.6906819343566895,,
24070,126,1688.795826,200,17.875757217407227,,
24270,127,1601.600412,200,1.4858975410461426,,
24470,128,1246.476313,200,9.627591133117676,,
24670,129,1587.62073,200,4.435485363006592,,
24870,130,1717.949337,200,6.109073162078857,,
24926,131,336.566339,56,2.8468003273010254,,
25126,132,1847.130986,200,7.010366439819336,,
25204,133,415.516239,78,4.397247791290283,,
25274,134,521.724188,70,5.0321760177612305,,
25474,135,1542.325314,200,1.2624289989471436,,
25674,136,1335.11417,200,7.274714946746826,,
25874,137,1482.041668,200,5.398712158203125,,
26074,138,1831.900998,200,1.7330892086029053,,
26274,139,1212.036999,200,3.8480193614959717,,
26474,140,1767.119167,200,1.867856740951538,,
26674,141,1464.628479,200,1.785129427909851,,
26822,142,669.696517,148,5.29054069519043,,
27022,143,1374.169712,200,1.4453086853027344,,
27222,144,1310.807917,200,13.920513153076172,,
27290,145,185.225511,68,1.298019528388977,,
27490,146,1596.305237,200,1.453356146812439,,
27690,147,2223.914806,200,3.4185285568237305,,
27890,148,1662.258558,200,1.2557470798492432,,
28090,149,1510.858127,200,1.5389344692230225,,
28290,150,1811.00609,200,2.323704719543457,,
28490,151,1261.111701,200,1.4807813167572021,,
28690,152,1747.597351,200,1.438155174255371,,
28890,153,2007.720556,200,9.701383590698242,,
29090,154,1346.088703,200,6.335996627807617,,
29290,155,1618.97846,200,5.697145938873291,,
29490,156,1482.227494,200,3.684628963470459,,
29690,157,1865.43763,200,2.9650321006774902,,
29890,158,1421.320465,200,3.4819891452789307,,
30090,159,2021.287905,200,7.631204605102539,,
30290,160,1365.333669,200,4.6322712898254395,,
30448,161,997.28708,158,12.780721664428711,,
30648,162,1755.75596,200,7.042011260986328,,
30848,163,1696.437569,200,13.19762897491455,,
31048,164,1459.998211,200,3.395639419555664,,
